id,age,income,student,credit_rating,Buy_Computer
1,<=30,high,no,fair,no
2,<=30,high,no,excellent,no
3,31...40,high,no,fair,yes
4,>40,medium,no,fair,yes
5,>40,low,yes,fair,yes
6,>40,low,yes,excellent,no
7,31...40,low,yes,excellent,yes
8,<=30,medium,no,fair,no
9,<=30,low,yes,fair,yes
10,>40,medium,yes,fair,yes
11,<=30,medium,yes,excellent,yes
12,31...40,medium,no,excellent,yes
13,31...40,high,yes,fair,yes
14,>40,medium,no,excellent,no
15,<=30,medium,no,excellent,no
16,<=30,low,no,fair,no
17,<=30,low,no,excellent,no
18,31...40,low,yes,fair,yes
19,>40,medium,yes,excellent,yes
20,31...40,high,no,excellent,yes
